stat,filename,set,combo_1,combo_2,combo_3,combo_4,combo_5,combo_6,combo_7,combo_8,combo_9,combo_10,combo_11,combo_12,combo_13,combo_14,combo_15,combo_16,combo_17,combo_18,combo_19,combo_20,combo_21,combo_22,combo_23,combo_24,combo_25
speed,set013-A1_359.txt,13,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
distance,set013-A1_359.txt,13,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65
trough,set013-A1_4.txt,13,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
speed,set013-A1_4.txt,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
distance,set013-A1_4.txt,13,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63
trough,set013-A1_419.txt,13,74,64,40,87,8,41,59,8,8,8,38,8,8,8,8,8,8,8,8,8,8,8,8,8,8
speed,set013-A1_419.txt,13,2.15,1.49,1.74,3.09,0,1.37,2.33,0,0,0,4.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
distance,set013-A1_419.txt,13,33.93,27.02,17.59,50.89,0.63,15.08,32.67,0.63,0.63,0.63,18.22,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63
trough,set013-A1_424.txt,13,75,78,70,11,11,48,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
speed,set013-A1_424.txt,13,2.95,2.64,2.58,0.18,0.18,1.9,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
distance,set013-A1_424.txt,13,43.35,43.98,39.58,3.14,3.14,25.13,3.14,3.14,3.14,3.14,3.14,3.14,3.14,3.14,3.14,3.14,3.14,3.14,3.14,3.14,3.14,3.14,3.14,3.14,3.14
trough,set013-A2_100.txt,13,4404,4403,4401,4402,4402,4403,4401,4402,4402,4402,4402,4402,4402,4401,4401,4402,4402,4401,4401,4400,4401,4401,4400,4400,4400
speed,set013-A2_100.txt,13,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
distance,set013-A2_100.txt,13,2766.4,2765.78,2764.52,2765.15,2765.15,2765.78,2764.52,2765.15,2765.15,2765.15,2765.15,2765.15,2765.15,2764.52,2764.52,2765.15,2765.15,2764.52,2764.52,2763.89,2764.52,2764.52,2763.89,2763.89,2763.89
trough,set013-A2_11.txt,13,2086,2086,2086,2086,2086,2086,2086,2086,2086,2086,2086,2086,2086,2086,2086,2086,2086,2086,2086,2086,2086,2086,2086,2086,2086
speed,set013-A2_11.txt,13,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38
distance,set013-A2_11.txt,13,1310.01,1310.01,1310.01,1310.01,1310.01,1310.01,1310.01,1310.01,1310.01,1310.01,1310.01,1310.01,1310.01,1310.01,1310.01,1310.01,1310.01,1310.01,1310.01,1310.01,1310.01,1310.01,1310.01,1310.01,1310.01
trough,set013-A2_322.txt,13,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
speed,set013-A2_322.txt,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
distance,set013-A2_322.txt,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trough,set013-A2_355.txt,13,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
speed,set013-A2_355.txt,13,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33
distance,set013-A2_355.txt,13,11.31,11.31,11.31,11.31,11.31,11.31,11.31,11.31,11.31,11.31,11.31,11.31,11.31,11.31,11.31,11.31,11.31,11.31,11.31,11.31,11.31,11.31,11.31,11.31,11.31
trough,set013-A2_358.txt,13,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
speed,set013-A2_358.txt,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
distance,set013-A2_358.txt,13,0.63,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trough,set013-A2_382.txt,13,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511
speed,set013-A2_382.txt,13,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
distance,set013-A2_382.txt,13,316.03,316.03,316.03,316.03,316.03,316.03,316.03,316.03,316.03,316.03,316.03,316.03,316.03,316.03,316.03,316.03,316.03,316.03,316.03,316.03,316.03,316.03,316.03,316.03,316.03
trough,set013-A2_50.txt,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
speed,set013-A2_50.txt,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
distance,set013-A2_50.txt,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trough,set013-A3_140.txt,13,19229,19229,19229,19229,19229,19229,19229,19229,19229,19229,19229,19229,19229,19229,19229,19229,19229,19229,19229,19229,19229,19229,19229,19229,19229
speed,set013-A3_140.txt,13,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38
distance,set013-A3_140.txt,13,12063.36,12063.36,12063.36,12063.36,12063.36,12063.36,12063.36,12063.36,12063.36,12063.36,12063.36,12063.36,12063.36,12063.36,12063.36,12063.36,12063.36,12063.36,12063.36,12063.36,12063.36,12063.36,12063.36,12063.36,12063.36
trough,set013-A3_204.txt,13,1577,1577,1577,1577,1577,1577,1577,1577,1577,1577,1577,1577,1577,1577,1577,1577,1577,1577,1577,1577,1577,1577,1577,1577,1577
speed,set013-A3_204.txt,13,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
distance,set013-A3_204.txt,13,990.2,990.2,990.2,990.2,990.2,990.2,990.2,990.2,990.2,990.2,990.2,990.2,990.2,990.2,990.2,990.2,990.2,990.2,990.2,990.2,990.2,990.2,990.2,990.2,990.2
trough,set013-A3_400.txt,13,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
speed,set013-A3_400.txt,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
distance,set013-A3_400.txt,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trough,set013-A4_15.txt,13,41,40,54,100,145,41,92,145,127,88,120,145,104,64,47,127,77,55,44,41,54,47,43,39,37
speed,set013-A4_15.txt,13,0.38,0.38,1.1,3.39,3.12,0.38,3.28,3.73,3.08,2.34,4.1,3.12,3.67,2.02,0.84,3.08,2.16,1.5,0.75,0.62,1.4,0.84,0.68,0.33,0.33
distance,set013-A4_15.txt,13,21.36,20.73,28.9,57.8,87.33,20.73,53.41,87.33,76.02,50.26,71.0,87.33,60.32,35.18,25.76,76.02,43.35,30.16,23.88,21.99,29.53,25.76,23.25,20.73,20.11
trough,set013-A4_153.txt,13,365,262,401,619,903,319,541,783,933,718,696,838,873,650,156,933,718,339,30,2,563,217,8,1,0
speed,set013-A4_153.txt,13,4.37,3.92,3.72,4.1,4.32,3.68,4.09,3.96,4.31,4.18,4.22,4.07,4.17,4.31,3.58,4.31,4.18,4.17,2.45,0,4.22,3.83,0,0,0
distance,set013-A4_153.txt,13,216.76,150.79,242.52,383.26,559.82,189.75,333.63,483.79,581.81,445.46,431.64,518.98,544.11,403.37,90.48,581.81,445.46,205.45,13.19,0,346.19,128.8,0.63,0,0
trough,set013-A4_154.txt,13,11,10,9,9,7,9,9,8,6,6,9,7,6,6,6,6,6,6,6,5,6,6,6,4,2
speed,set013-A4_154.txt,13,2.95,2.95,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0,0.22,0.22,0.22,0,0
distance,set013-A4_154.txt,13,3.14,3.14,2.51,2.51,2.51,2.51,2.51,2.51,1.88,1.88,2.51,2.51,1.88,1.88,1.88,1.88,1.88,1.88,1.88,1.26,1.88,1.88,1.88,0.63,0
trough,set013-A4_164.txt,13,4744,5172,4887,5558,6427,5133,4962,6022,6559,5725,5558,6427,6043,5100,4880,6501,5465,4991,4859,4831,5100,4880,4837,4799,4779
speed,set013-A4_164.txt,13,0.65,0.88,0.67,1.11,1.47,0.87,0.73,1.44,1.6,0.98,1.11,1.47,1.23,0.48,0.38,1.52,0.77,0.43,0.36,0.33,0.48,0.38,0.34,0.3,0.28
distance,set013-A4_164.txt,13,2971.23,3247.05,3063.59,3475.76,4034.31,3220.67,3105.06,3769.8,4118.51,3593.88,3475.76,4034.31,3794.3,3203.07,3064.85,4081.44,3432.4,3134.59,3051.65,3034.06,3203.07,3064.85,3037.83,3013.96,3001.39
trough,set013-A4_28.txt,13,158,189,134,72,61,175,89,75,41,19,72,61,25,14,13,61,15,13,13,13,14,13,13,13,13
speed,set013-A4_28.txt,13,4.32,3.86,4.45,4.36,4.03,4.23,3.92,5.51,3.93,0.7,4.36,4.03,1.45,0.22,0.22,5.66,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22
distance,set013-A4_28.txt,13,89.22,109.32,76.02,38.95,32.67,100.53,49.01,41.47,21.36,7.54,38.95,32.67,11.31,4.4,4.4,33.93,5.03,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4
trough,set013-A4_30.txt,13,4,4,3,3,2,3,3,3,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1
speed,set013-A4_30.txt,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
distance,set013-A4_30.txt,13,1.26,1.26,1.26,1.26,0,1.26,1.26,1.26,0,0,1.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trough,set013-A4_352.txt,13,52,16,9,9,9,9,9,9,9,9,9,9,9,9,8,9,9,8,7,7,9,8,7,7,7
speed,set013-A4_352.txt,13,4.47,2.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17
distance,set013-A4_352.txt,13,28.9,5.65,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,1.88,2.51,2.51,1.88,1.88,1.88,2.51,1.88,1.88,1.88,1.88
trough,set013-A4_41.txt,13,17,16,20,8,0,29,14,3,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0
speed,set013-A4_41.txt,13,4.77,7.18,4.63,3.53,0,5.37,3.12,0,0,0,5.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0
distance,set013-A4_41.txt,13,5.65,8.8,11.31,3.77,0,16.96,7.54,0.63,0,0,3.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trough,set013-A4_425.txt,13,11,9,7,6,6,9,6,6,6,5,6,6,6,5,5,6,5,5,4,4,5,5,4,4,4
speed,set013-A4_425.txt,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
distance,set013-A4_425.txt,13,1.26,1.26,1.26,0.63,0.63,1.26,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63
trough,set013-A4_52.txt,13,60,58,57,57,56,58,57,57,56,56,57,56,56,55,55,56,56,55,55,55,55,55,55,55,55
speed,set013-A4_52.txt,13,0.38,0.38,0.38,0.38,0.39,0.38,0.38,0.38,0.39,0.38,0.38,0.39,0.38,0.37,0.37,0.39,0.38,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37
distance,set013-A4_52.txt,13,28.9,28.27,28.27,28.27,27.65,28.27,28.27,28.27,27.65,28.27,28.27,27.65,28.27,27.65,27.65,27.65,28.27,27.65,27.65,27.65,27.65,27.65,27.65,27.65,27.65
trough,set013-B1_183.txt,13,11906,11906,11906,11906,11906,11906,11906,11906,11906,11906,11906,11906,11906,11906,11906,11906,11906,11906,11906,11906,11906,11906,11906,11906,11906
speed,set013-B1_183.txt,13,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32
distance,set013-B1_183.txt,13,7479.28,7479.28,7479.28,7479.28,7479.28,7479.28,7479.28,7479.28,7479.28,7479.28,7479.28,7479.28,7479.28,7479.28,7479.28,7479.28,7479.28,7479.28,7479.28,7479.28,7479.28,7479.28,7479.28,7479.28,7479.28
trough,set013-B1_229.txt,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
speed,set013-B1_229.txt,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
distance,set013-B1_229.txt,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trough,set013-B1_27.txt,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
speed,set013-B1_27.txt,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
distance,set013-B1_27.txt,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trough,set013-B2_112.txt,13,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5
speed,set013-B2_112.txt,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
distance,set013-B2_112.txt,13,1.26,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63
trough,set013-B2_137.txt,13,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26
speed,set013-B2_137.txt,13,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39
distance,set013-B2_137.txt,13,12.57,12.57,12.57,12.57,12.57,12.57,12.57,12.57,12.57,12.57,12.57,12.57,12.57,12.57,12.57,12.57,12.57,12.57,12.57,12.57,12.57,12.57,12.57,12.57,12.57
trough,set013-B2_149.txt,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
speed,set013-B2_149.txt,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
distance,set013-B2_149.txt,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trough,set013-B2_310.txt,13,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
speed,set013-B2_310.txt,13,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
distance,set013-B2_310.txt,13,6.28,6.28,6.28,6.28,6.28,6.28,6.28,6.28,6.28,6.28,6.28,6.28,6.28,6.28,6.28,6.28,6.28,6.28,6.28,6.28,6.28,6.28,6.28,6.28,6.28
trough,set013-B2_371.txt,13,584,584,584,584,584,584,584,584,584,584,584,584,584,584,584,584,584,584,584,584,584,584,584,584,584
speed,set013-B2_371.txt,13,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
distance,set013-B2_371.txt,13,363.79,363.79,363.79,363.79,363.79,363.79,363.79,363.79,363.79,363.79,363.79,363.79,363.79,363.79,363.79,363.79,363.79,363.79,363.79,363.79,363.79,363.79,363.79,363.79,363.79
trough,set013-B2_392.txt,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
speed,set013-B2_392.txt,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
distance,set013-B2_392.txt,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trough,set013-B2_90.txt,13,5046,5046,5046,5046,5046,5046,5046,5046,5046,5046,5046,5046,5046,5046,5046,5046,5046,5046,5046,5046,5046,5046,5046,5046,5046
speed,set013-B2_90.txt,13,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21
distance,set013-B2_90.txt,13,3148.41,3148.41,3148.41,3148.41,3148.41,3148.41,3148.41,3148.41,3148.41,3148.41,3148.41,3148.41,3148.41,3148.41,3148.41,3148.41,3148.41,3148.41,3148.41,3148.41,3148.41,3148.41,3148.41,3148.41,3148.41
trough,set013-B3_217.txt,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
speed,set013-B3_217.txt,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
distance,set013-B3_217.txt,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trough,set013-B3_327.txt,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
speed,set013-B3_327.txt,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
distance,set013-B3_327.txt,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trough,set013-B3_329.txt,13,13,14,14,13,13,14,13,13,14,14,13,13,14,16,16,13,14,16,15,15,16,16,15,14,13
speed,set013-B3_329.txt,13,1.59,4.38,3.96,3.96,3.95,3.96,3.96,3.96,6.78,7.13,3.96,3.95,7.13,7.61,7.31,3.95,7.13,7.61,5.74,5.74,7.61,7.31,5.74,5.74,4.79
distance,set013-B3_329.txt,13,3.14,4.4,4.4,4.4,4.4,4.4,4.4,4.4,5.03,5.03,4.4,4.4,5.03,6.28,6.28,4.4,5.03,6.28,5.65,5.65,6.28,6.28,5.65,5.65,5.03
trough,set013-B3_345.txt,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
speed,set013-B3_345.txt,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
distance,set013-B3_345.txt,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trough,set013-B3_350.txt,13,3464,3466,3468,3469,3474,3469,3470,3468,3486,3518,3469,3472,3501,3528,3582,3486,3518,3563,3616,3705,3545,3570,3658,3722,3837
speed,set013-B3_350.txt,13,0.3,0.31,0.32,0.32,0.35,0.32,0.32,0.33,0.39,0.52,0.32,0.34,0.45,0.56,0.79,0.39,0.52,0.71,0.92,1.28,0.63,0.74,1.09,1.35,1.89
distance,set013-B3_350.txt,13,2173.29,2174.55,2176.43,2177.69,2181.46,2176.43,2177.69,2177.69,2189.0,2209.1,2177.69,2180.2,2198.42,2215.39,2249.31,2189.0,2209.1,2237.38,2270.68,2326.59,2226.07,2241.77,2297.06,2337.28,2409.53
trough,set013-B3_43.txt,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
speed,set013-B3_43.txt,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
distance,set013-B3_43.txt,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trough,set013-B3_57.txt,13,7,7,7,7,6,7,7,7,6,6,7,6,6,6,6,6,6,6,5,5,6,6,5,5,5
speed,set013-B3_57.txt,13,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.6,1.6,1.24,1.24,1.6,1.6,1.6
distance,set013-B3_57.txt,13,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,1.88,1.88,2.51,2.51,1.88,1.88,1.88
trough,set013-B4_19.txt,13,2579,2578,2574,2568,2554,2577,2569,2561,2533,2501,2566,2554,2512,2456,2346,2533,2475,2370,2252,2146,2425,2346,2210,2104,1967
speed,set013-B4_19.txt,13,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.25,0.25,0.24,0.24,0.24
distance,set013-B4_19.txt,13,1618.5,1617.87,1615.36,1610.33,1599.65,1617.24,1610.96,1604.68,1584.57,1558.81,1609.08,1599.65,1566.98,1525.51,1434.41,1584.57,1538.08,1453.26,1368.44,1293.04,1499.12,1434.41,1338.28,1266.65,1176.81
trough,set013-B4_21.txt,13,834,831,826,821,820,830,823,820,818,813,821,820,816,811,799,818,812,802,782,764,807,799,774,761,728
speed,set013-B4_21.txt,13,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19
distance,set013-B4_21.txt,13,521.49,519.6,517.09,513.32,512.06,518.98,513.95,512.06,510.18,505.15,513.32,512.06,507.67,503.27,491.96,510.18,504.52,495.1,475.62,462.43,499.5,491.96,468.71,459.92,432.27
trough,set013-B4_326.txt,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
speed,set013-B4_326.txt,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
distance,set013-B4_326.txt,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trough,set013-B4_394.txt,13,35,35,34,33,33,34,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33
speed,set013-B4_394.txt,13,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
distance,set013-B4_394.txt,13,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85
trough,set013-B4_437.txt,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
speed,set013-B4_437.txt,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
